precision,recall,sensitivity,specificity,accuracy,f1,tp,tn,fp,fn,threshold
0.1830708661417323,1.0,1.0,0.8626282687851705,0.8667308927424534,0.30948419301164726,93,2606,415,0,0.21000000000000002
0.18902439024390244,1.0,1.0,0.8679245283018868,0.871868978805395,0.317948717948718,93,2622,399,0,0.22
0.19135802469135801,1.0,1.0,0.8699106256206555,0.873795761078998,0.32124352331606215,93,2628,393,0,0.23
0.19703389830508475,1.0,1.0,0.8745448526977821,0.8782915863840719,0.3292035398230089,93,2642,379,0,0.24000000000000002
0.20217391304347826,1.0,1.0,0.8785170473353194,0.8821451509312781,0.33634719710669075,93,2654,367,0,0.25
0.20484581497797358,1.0,1.0,0.8805031446540881,0.8840719332048812,0.34003656307129804,93,2660,361,0,0.26
0.20898876404494382,1.0,1.0,0.8834822906322409,0.8869621066152859,0.345724907063197,93,2669,352,0,0.27
0.20861678004535147,0.989247311827957,0.989247311827957,0.8844753392916253,0.8876043673731535,0.3445692883895131,92,2672,349,1,0.28
0.21495327102803738,0.989247311827957,0.989247311827957,0.8887785501489573,0.8917790622992935,0.35316698656429946,92,2685,336,1,0.29000000000000004
0.22009569377990432,0.989247311827957,0.989247311827957,0.892088712346905,0.894990366088632,0.3600782778864971,92,2695,326,1,0.3
0.2222222222222222,0.989247311827957,0.989247311827957,0.893412777226084,0.8962748876043674,0.36291913214990135,92,2699,322,1,0.31
0.2271604938271605,0.989247311827957,0.989247311827957,0.896391923204237,0.899165061014772,0.36947791164658633,92,2708,313,1,0.32
0.23057644110275688,0.989247311827957,0.989247311827957,0.8983780205230056,0.9010918432883751,0.37398373983739835,92,2714,307,1,0.33
0.23214285714285715,0.978494623655914,0.978494623655914,0.9003641178417743,0.9026974951830443,0.3752577319587629,91,2720,301,2,0.34
0.2351421188630491,0.978494623655914,0.978494623655914,0.9020191989407481,0.9043031470777135,0.37916666666666665,91,2725,296,2,0.35000000000000003
0.2394736842105263,0.978494623655914,0.978494623655914,0.9043363124793115,0.9065510597302505,0.38477801268498946,91,2732,289,2,0.36000000000000004
0.24266666666666667,0.978494623655914,0.978494623655914,0.9059913935782853,0.9081567116249197,0.3888888888888889,91,2737,284,2,0.37
0.2446236559139785,0.978494623655914,0.978494623655914,0.9069844422376696,0.9091201027617213,0.3913978494623656,91,2740,281,2,0.38
0.24863387978142076,0.978494623655914,0.978494623655914,0.9089705395564383,0.9110468850353244,0.39651416122004357,91,2746,275,2,0.39
0.25068870523415976,0.978494623655914,0.978494623655914,0.9099635882158226,0.9120102761721259,0.3991228070175439,91,2749,272,2,0.4
